,sum.w,(Intercept),z$religious_,medinc,z$ACS5year_1,z$ACR_5yea_3,(Intercept)_se,z$religious__se,medinc_se,z$ACS5year_1_se,z$ACR_5yea_3_se,gwr.e,pred,pred.se,localR2,(Intercept)_se_EDF,z$religious__se_EDF,medinc_se_EDF,z$ACS5year_1_se_EDF,z$ACR_5yea_3_se_EDF,pred.se.1,X,Y
22,30.85419236,33.47867842,0.144412091,-0.174622803,0.535739633,0.976479133,8.091478599,0.110845259,0.067398471,0.146067746,0.331711224,7.738545319,64.35166813,2.742784476,0.604827739,8.385246159,0.114869585,0.069845426,0.151370852,0.343754264,2.842363446,658902.7884,3682180.473
23,27.15549621,33.79991809,0.161068912,-0.188635351,0.493616005,1.074108942,8.956113137,0.116837266,0.073576165,0.159819939,0.361817344,-15.51222617,59.52695914,2.703781321,0.600935191,9.28127194,0.121079135,0.076247406,0.165622329,0.37495341,2.80194425,618778.8805,3717361.355
24,24.04338672,30.67575595,0.206526979,-0.163466978,0.453976118,1.2424813,9.79692858,0.124364787,0.079428627,0.1748114,0.412937611,2.065739402,65.79697511,3.434454859,0.551664176,10.15261386,0.128879949,0.082312346,0.181158067,0.427929639,3.559145471,577833.459,3703291.215
25,24.1960698,28.98485738,0.23048048,-0.134648289,0.421543877,1.308118144,9.914399068,0.126601514,0.080016673,0.179460373,0.434670277,-11.80132896,55.02166794,3.885228823,0.50460086,10.2743492,0.131197882,0.082921742,0.185975824,0.450451326,4.026285142,546130.7778,3713254.058
26,25.17066154,27.65695946,0.246894495,-0.096383018,0.392087584,1.343510708,9.774843337,0.127346801,0.079350688,0.181109239,0.445746502,2.299181083,69.66852122,4.482494955,0.453686546,10.12972679,0.131970228,0.082231578,0.187684554,0.461929683,4.645235496,510951.2986,3717063.882
27,21.92897659,25.25247938,0.276790461,-0.036119049,0.337693609,1.491975146,10.40640927,0.137865805,0.085339263,0.202980919,0.513498746,-0.71228594,59.79431719,4.18832314,0.379930781,10.78422223,0.142871133,0.088437573,0.210350302,0.532141726,4.340383539,471528.7743,3724926.621
28,24.74909002,29.41092169,0.242888502,-0.079284571,0.338778912,1.256352905,9.48616343,0.127122129,0.078558013,0.182699743,0.442268709,-29.88054168,54.55558024,2.597977213,0.394180363,9.83056613,0.131737399,0.081410124,0.189332802,0.458325626,2.69229884,483745.4719,3767803.478
29,24.43832742,31.10475139,0.219416618,-0.135840744,0.385068811,1.198755216,9.556245659,0.123903157,0.078081886,0.177453319,0.420152639,7.693205174,51.09800362,3.468018059,0.472510281,9.903192751,0.128401559,0.080916711,0.183895903,0.435406614,3.59392721,531930.6394,3758867.903
30,23.28128611,33.34301505,0.190303302,-0.182854753,0.428264706,1.140579974,9.850419865,0.122434646,0.079840024,0.17647302,0.40470991,-0.607579394,44.44319583,2.973665381,0.557242816,10.20804718,0.126879733,0.082738679,0.182880013,0.419403225,3.081626665,575346.6619,3751180.589
31,23.8535025,36.51375345,0.14475645,-0.215250731,0.47150127,1.031387736,9.606995156,0.11872738,0.077839569,0.168745514,0.37321473,-6.73526493,52.48440713,2.815958505,0.626125782,9.955784748,0.123037872,0.080665596,0.174871954,0.386764587,2.918194116,616934.7501,3758107.305
